Year,Month,Opening Balance,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Closing Balance
2022,May,3915000.0,300000.0,-15000.0,-25000.0,260000.0,4175000.0
2022,Jun,4175000.0,310000.0,-140000.0,-25000.0,145000.0,4320000.0
2022,Jul,4320000.0,320000.0,-20000.0,-25000.0,275000.0,4595000.0
2022,Aug,4595000.0,330000.0,-15000.0,-25000.0,290000.0,4885000.0
2022,Sep,4885000.0,340000.0,-150000.0,-25000.0,165000.0,5050000.0
2022,Oct,5050000.0,350000.0,-20000.0,-25000.0,305000.0,5355000.0
2022,Nov,5355000.0,360000.0,-15000.0,-25000.0,320000.0,5675000.0
2022,Dec,5675000.0,370000.0,-160000.0,-25000.0,185000.0,5860000.0
2023,Jan,5860000.0,380000.0,-20000.0,-30000.0,330000.0,6190000.0
2023,Feb,6190000.0,390000.0,-15000.0,-30000.0,345000.0,6535000.0
2023,Mar,6535000.0,400000.0,-170000.0,-30000.0,200000.0,6735000.0
2023,Apr,6735000.0,420000.0,-20000.0,-30000.0,370000.0,7105000.0
2023,May,7105000.0,440000.0,-15000.0,-30000.0,395000.0,7500000.0
2023,Jun,7500000.0,460000.0,-180000.0,-30000.0,250000.0,7750000.0
2023,Jul,7750000.0,480000.0,-20000.0,-30000.0,430000.0,8180000.0
2023,Aug,8180000.0,500000.0,-15000.0,-30000.0,455000.0,8635000.0
2023,Sep,8635000.0,520000.0,-190000.0,-30000.0,300000.0,8935000.0
2023,Oct,8935000.0,550000.0,-20000.0,-30000.0,500000.0,9435000.0
2023,Nov,9435000.0,580000.0,-15000.0,-30000.0,535000.0,9970000.0
2023,Dec,9970000.0,600000.0,-200000.0,-30000.0,370000.0,10340000.0
2024,Jan,10340000.0,620000.0,-20000.0,-35000.0,565000.0,10905000.0
2024,Feb,10905000.0,650000.0,-15000.0,-35000.0,600000.0,11505000.0
2024,Mar,11505000.0,680000.0,-210000.0,-35000.0,435000.0,11940000.0
2024,Apr,11940000.0,710000.0,-20000.0,-35000.0,655000.0,12595000.0
2024,May,12595000.0,740000.0,-15000.0,-35000.0,690000.0,13285000.0
2024,Jun,13285000.0,770000.0,-220000.0,-35000.0,515000.0,13800000.0
2024,Jul,13800000.0,800000.0,-20000.0,-35000.0,745000.0,14545000.0
2024,Aug,14545000.0,830000.0,-15000.0,-35000.0,780000.0,15325000.0
2024,Sep,15325000.0,860000.0,-230000.0,-35000.0,595000.0,15920000.0
2024,Oct,15920000.0,900000.0,-20000.0,-35000.0,845000.0,16765000.0
2024,Nov,16765000.0,940000.0,-15000.0,-35000.0,890000.0,17655000.0
2024,Dec,17655000.0,1000000.0,-250000.0,-35000.0,715000.0,18370000.0
2025,1,,1031671.0,-354017.0,273701.0,951355.0,19321355.0
2025,2,,1153480.0,-444376.0,-67855.0,641249.0,19962604.0
2025,3,,1232185.0,-253397.0,-25162.0,953625.0,20916230.0
2025,4,,1340196.0,-418368.0,-84599.0,837230.0,21753459.0
2025,5,,1623404.0,-379199.0,96712.0,1340917.0,23094376.0
2025,6,,1763642.0,-586123.0,298096.0,1475615.0,24569991.0
2025,7,,1640093.0,-625906.0,-201235.0,812953.0,25382944.0
2025,8,,1586344.0,-524979.0,-704582.0,356783.0,25739727.0
2025,9,,1424655.0,-630548.0,574637.0,1368745.0,27108472.0
2025,10,,1317730.0,-480675.0,-366085.0,470970.0,27579443.0
2025,11,,1339789.0,-538367.0,2854.0,804275.0,28383718.0
2025,12,,1423348.0,-350260.0,468368.0,1541455.0,29925174.0
2026,1,,1438947.0,-555987.0,166233.0,1049192.0,30974366.0
2026,2,,1619399.0,-379011.0,390536.0,1630924.0,32605291.0
2026,3,,1915822.0,-467105.0,31664.0,1480381.0,34085672.0
2026,4,,2034680.0,-547020.0,-382797.0,1104862.0,35190534.0
2026,5,,2128617.0,-516682.0,382815.0,1994749.0,37185283.0
2026,6,,2387983.0,-586313.0,-264292.0,1537378.0,38722661.0
2026,7,,2395441.0,-502072.0,252108.0,2145478.0,40868138.0
2026,8,,2344750.0,-816157.0,-48190.0,1480403.0,42348542.0
2026,9,,2404874.0,-803979.0,181807.0,1782702.0,44131244.0
2026,10,,2566531.0,-796645.0,-410980.0,1358906.0,45490150.0
2026,11,,2501743.0,-1049421.0,-281058.0,1171264.0,46661414.0
2026,12,,2530281.0,-602455.0,-472302.0,1455524.0,48116938.0
2027,1,,2986057.0,-785066.0,-626153.0,1574837.0,49691775.0
2027,2,,3064991.0,-852117.0,-172456.0,2040418.0,51732193.0
2027,3,,3756683.0,-709688.0,-62159.0,2984835.0,54717028.0
2027,4,,4335032.0,-1220842.0,20756.0,3134946.0,57851974.0
2027,5,,4794476.0,-1302400.0,877259.0,4369335.0,62221309.0
2027,6,,4969855.0,-1645975.0,367491.0,3691371.0,65912681.0
2027,7,,4920763.0,-1753592.0,-182907.0,2984263.0,68896944.0
2027,8,,4307741.0,-1597780.0,-421691.0,2288270.0,71185214.0
2027,9,,3858656.0,-855962.0,570621.0,3573315.0,74758529.0
2027,10,,3733693.0,-985714.0,284869.0,3032848.0,77791377.0
2027,11,,3412690.0,-941383.0,595719.0,3067026.0,80858403.0
2027,12,,3128790.0,-886042.0,164118.0,2406866.0,83265269.0
2028,1,,3039218.0,-1288016.0,184155.0,1935357.0,85200626.0
2028,2,,3484514.0,-710908.0,149956.0,2923561.0,88124188.0
2028,3,,3834871.0,-1031238.0,816459.0,3620092.0,91744279.0
2028,4,,4154096.0,-1088478.0,161235.0,3226853.0,94971132.0
2028,5,,4550290.0,-1564240.0,1081986.0,4068036.0,99039168.0
2028,6,,3980581.0,-1229442.0,-359392.0,2391747.0,101430914.0
2028,7,,4105502.0,-1208087.0,-829751.0,2067664.0,103498578.0
2028,8,,4116943.0,-966456.0,-709260.0,2441227.0,105939805.0
2028,9,,3647674.0,-1195781.0,-112364.0,2339529.0,108279335.0
2028,10,,3731644.0,-1219795.0,39579.0,2551428.0,110830763.0
2028,11,,3532479.0,-1137399.0,599813.0,2994892.0,113825656.0
2028,12,,3744503.0,-1027494.0,761725.0,3478734.0,117304390.0
2029,1,,3886359.0,-888329.0,-768896.0,2229135.0,119533524.0
2029,2,,4187200.0,-1249838.0,231045.0,3168408.0,122701932.0
2029,3,,4600220.0,-1472920.0,-1275003.0,1852296.0,124554228.0
2029,4,,4850263.0,-1436293.0,-148094.0,3265875.0,127820103.0
2029,5,,5048367.0,-1489860.0,22781.0,3581288.0,131401391.0
2029,6,,5383426.0,-1580735.0,-163168.0,3639523.0,135040914.0
2029,7,,5301047.0,-1813187.0,470770.0,3958630.0,138999544.0
2029,8,,4989415.0,-1457082.0,467482.0,3999815.0,142999359.0
2029,9,,5114952.0,-1612081.0,-955595.0,2547276.0,145546635.0
2029,10,,5003865.0,-1405503.0,305353.0,3903714.0,149450350.0
2029,11,,4724341.0,-1904393.0,-465724.0,2354224.0,151804574.0
2029,12,,4355150.0,-1477290.0,-256636.0,2621224.0,154425798.0
2030,1,,4207787.0,-1131669.0,365866.0,3441984.0,157867781.0
2030,2,,3929601.0,-1592978.0,474011.0,2810634.0,160678415.0
2030,3,,4523530.0,-1088034.0,-50978.0,3384518.0,164062933.0
2030,4,,5319279.0,-1304967.0,-144194.0,3870117.0,167933051.0
2030,5,,5430509.0,-1575438.0,-59215.0,3795855.0,171728906.0
2030,6,,5757892.0,-1556389.0,-1871744.0,2329758.0,174058664.0
2030,7,,5868047.0,-2225383.0,-1138507.0,2504157.0,176562821.0
2030,8,,5945815.0,-1576232.0,-72481.0,4297103.0,180859923.0
2030,9,,5711403.0,-1657616.0,-156002.0,3897785.0,184757708.0
2030,10,,5465085.0,-1797205.0,-513964.0,3153915.0,187911624.0
2030,11,,5415619.0,-1515493.0,181114.0,4081241.0,191992864.0
2030,12,,6028566.0,-2072777.0,-1143505.0,2812284.0,194805149.0
2031,1,,6137564.0,-1434862.0,-238731.0,4463970.0,199269119.0
2031,2,,7116672.0,-2198764.0,-640568.0,4277340.0,203546459.0
2031,3,,8121123.0,-2288613.0,604787.0,6437297.0,209983756.0
2031,4,,9793708.0,-3284585.0,-604464.0,5904659.0,215888415.0
2031,5,,9639373.0,-3129739.0,296527.0,6806162.0,222694576.0
2031,6,,9323603.0,-3590384.0,408611.0,6141831.0,228836407.0
2031,7,,8965715.0,-3370299.0,586893.0,6182309.0,235018716.0
2031,8,,9340837.0,-1873749.0,566588.0,8033676.0,243052392.0
2031,9,,8328206.0,-2781054.0,1223253.0,6770406.0,249822798.0
2031,10,,8113236.0,-2558533.0,1644810.0,7199513.0,257022311.0
2031,11,,7859100.0,-3073161.0,169349.0,4955288.0,261977600.0
2031,12,,8497850.0,-2910329.0,797968.0,6385489.0,268363089.0
2032,1,,9378994.0,-2174130.0,615376.0,7820240.0,276183329.0
2032,2,,10226966.0,-3290241.0,-1949277.0,4987448.0,281170777.0
2032,3,,10191266.0,-3272953.0,-231535.0,6686779.0,287857555.0
2032,4,,11719050.0,-3180711.0,692068.0,9230407.0,297087962.0
2032,5,,10929609.0,-4276275.0,758873.0,7412207.0,304500169.0
2032,6,,11283088.0,-2652904.0,-2680155.0,5950029.0,310450198.0
2032,7,,10545166.0,-3979308.0,49474.0,6615332.0,317065531.0
2032,8,,10630959.0,-3212140.0,287082.0,7705901.0,324771431.0
2032,9,,9222095.0,-3660102.0,-335056.0,5226937.0,329998369.0
2032,10,,8446809.0,-3354244.0,-547962.0,4544603.0,334542972.0
2032,11,,8860412.0,-3095643.0,-2782523.0,2982246.0,337525218.0
2032,12,,8170958.0,-2884735.0,910507.0,6196731.0,343721949.0
2033,1,,8435584.0,-3121743.0,-370648.0,4943193.0,348665142.0
2033,2,,10049687.0,-2462385.0,273922.0,7861225.0,356526367.0
2033,3,,11607592.0,-4221672.0,602739.0,7988659.0,364515025.0
2033,4,,13094615.0,-3772752.0,628966.0,9950829.0,374465854.0
2033,5,,12491730.0,-3526701.0,-1907125.0,7057904.0,381523758.0
2033,6,,13589871.0,-3994371.0,206582.0,9802083.0,391325841.0
2033,7,,13583348.0,-4411628.0,2798122.0,11969841.0,403295682.0
2033,8,,13955114.0,-4340056.0,-458970.0,9156087.0,412451769.0
2033,9,,13915221.0,-4722543.0,636564.0,9829242.0,422281012.0
2033,10,,13093324.0,-4630033.0,549501.0,9012792.0,431293804.0
2033,11,,12198315.0,-3353084.0,-1555485.0,7289746.0,438583550.0
2033,12,,12946423.0,-3735252.0,1821692.0,11032863.0,449616413.0
2034,1,,14184856.0,-4133432.0,2791984.0,12843407.0,462459821.0
2034,2,,16239035.0,-4704873.0,1092726.0,12626889.0,475086709.0
2034,3,,16512985.0,-3224473.0,-389106.0,12899405.0,487986115.0
2034,4,,18825373.0,-6262848.0,4322837.0,16885362.0,504871477.0
2034,5,,20920758.0,-6345445.0,-2651759.0,11923554.0,516795031.0
2034,6,,20542474.0,-6197906.0,4800528.0,19145096.0,535940127.0
2034,7,,19441688.0,-5892721.0,521085.0,14070052.0,550010180.0
2034,8,,17858733.0,-5749496.0,-3211132.0,8898105.0,558908285.0
2034,9,,15983132.0,-4898480.0,7299256.0,18383908.0,577292193.0
2034,10,,17368090.0,-4059027.0,-1389007.0,11920057.0,589212250.0
2034,11,,17446366.0,-5925971.0,551721.0,12072116.0,601284366.0
2034,12,,18540006.0,-3803222.0,171796.0,14908580.0,616192945.0
